"idState","popYear","population"
1,2010,17264230.00
2,2010,2630607.00
4,2010,24266102.00
5,2010,10664344.00
6,2010,142971636.00
8,2010,18842558.00
9,2010,17143737.00
10,2010,2954064.00
11,2010,2420904.00
12,2010,66077062.00
13,2010,34071632.00
15,2010,4023332.00
16,2010,5800287.00
17,2010,74546841.00
18,2010,37873632.00
19,2010,11567347.00
20,2010,15968197.00
21,2010,16887835.00
22,2010,15617995.00
23,2010,5867003.00
24,2010,17782756.00
25,2010,33176036.00
26,2010,50437214.00
27,2010,27634236.00
28,2010,10430906.00
29,2010,22480054.00
30,2010,3576831.00
31,2010,7439298.00
32,2010,9532377.00
33,2010,6051402.00
34,2010,43557406.00
35,2010,7540660.00
36,2010,90548966.00
37,2010,33996075.00
38,2010,3653256.00
39,2010,63297154.00
40,2010,14143831.00
41,2010,14189077.00
42,2010,58994804.00
44,2010,5129849.00
45,2010,15569436.00
46,2010,4312269.00
47,2010,24101627.00
48,2010,94402141.00
49,2010,10916666.00
50,2010,2872873.00
51,2010,25589520.00
53,2010,24606374.00
54,2010,6203615.00
55,2010,30968861.00
56,2010,2081979.00
1,2011,17315401.00
2,2011,2660069.00
4,2011,24519756.00
5,2011,10738204.00
6,2011,144208854.00
8,2011,19124341.00
9,2011,17190107.00
10,2011,2979832.00
11,2011,2479200.00
12,2011,66808938.00
13,2011,34393112.00
15,2011,4069053.00
16,2011,5851016.00
17,2011,74710399.00
18,2011,38037330.00
19,2011,11629438.00
20,2011,16033446.00
21,2011,16976918.00
22,2011,15725946.00
23,2011,5869949.00
24,2011,17930982.00
25,2011,33414906.00
26,2011,50445838.00
27,2011,27812364.00
28,2011,10460845.00
29,2011,22532735.00
30,2011,3601882.00
31,2011,7478259.00
32,2011,9569817.00
33,2011,6068342.00
34,2011,43708056.00
35,2011,7600452.00
36,2011,90961950.00
37,2011,34306834.00
38,2011,3711097.00
39,2011,63329107.00
40,2011,14254293.00
41,2011,14319496.00
42,2011,59132712.00
44,2011,5130216.00
45,2011,15692503.00
46,2011,4351770.00
47,2011,24283516.00
48,2011,95909719.00
49,2011,11070657.00
50,2011,2877868.00
51,2011,25821103.00
53,2011,24914081.00
54,2011,6209472.00
55,2011,31049500.00
56,2011,2093016.00
1,2012,17377204.00
2,2012,2690368.00
4,2012,24838949.00
5,2012,10784327.00
6,2012,145411528.00
8,2012,19397952.00
9,2012,17223414.00
10,2012,3005581.00
11,2012,2539696.00
12,2012,67659693.00
13,2012,34750345.00
15,2012,4114447.00
16,2012,5895300.00
17,2012,74808836.00
18,2012,38177062.00
19,2012,11669480.00
20,2012,16124688.00
21,2012,17052361.00
22,2012,15813475.00
23,2012,5867684.00
24,2012,18071486.00
25,2012,33672274.00
26,2012,50511326.00
27,2012,27966040.00
28,2012,10477221.00
29,2012,22585443.00
30,2012,3626329.00
31,2012,7522243.00
32,2012,9682294.00
33,2012,6086258.00
34,2012,43800238.00
35,2012,7627098.00
36,2012,91257529.00
37,2012,34653251.00
38,2012,3798418.00
39,2012,63360318.00
40,2012,14374286.00
41,2012,14423201.00
42,2012,59212448.00
44,2012,5135691.00
