"record_id","month","day","year","Temp","City","Country","Latitude","Longitude"
474381,6,1,1853,51.90,"Auckland","New Zealand","36.17S","175.03E"
474382,7,1,1853,52.38,"Auckland","New Zealand","36.17S","175.03E"
474383,8,1,1853,52.85,"Auckland","New Zealand","36.17S","175.03E"
474384,9,1,1853,52.57,"Auckland","New Zealand","36.17S","175.03E"
474385,10,1,1853,54.87,"Auckland","New Zealand","36.17S","175.03E"
474386,11,1,1853,56.68,"Auckland","New Zealand","36.17S","175.03E"
474387,12,1,1853,59.84,"Auckland","New Zealand","36.17S","175.03E"
474388,1,1,1854,64.59,"Auckland","New Zealand","36.17S","175.03E"
474389,2,1,1854,65.37,"Auckland","New Zealand","36.17S","175.03E"
474390,3,1,1854,64.96,"Auckland","New Zealand","36.17S","175.03E"
474391,4,1,1854,59.92,"Auckland","New Zealand","36.17S","175.03E"
474392,5,1,1854,57.50,"Auckland","New Zealand","36.17S","175.03E"
474393,6,1,1854,54.51,"Auckland","New Zealand","36.17S","175.03E"
474394,7,1,1854,53.19,"Auckland","New Zealand","36.17S","175.03E"
474395,8,1,1854,52.80,"Auckland","New Zealand","36.17S","175.03E"
474396,9,1,1854,53.39,"Auckland","New Zealand","36.17S","175.03E"
474397,10,1,1854,54.75,"Auckland","New Zealand","36.17S","175.03E"
474398,11,1,1854,57.31,"Auckland","New Zealand","36.17S","175.03E"
474399,12,1,1854,60.02,"Auckland","New Zealand","36.17S","175.03E"
474400,1,1,1855,63.35,"Auckland","New Zealand","36.17S","175.03E"
474401,2,1,1855,64.34,"Auckland","New Zealand","36.17S","175.03E"
474402,3,1,1855,63.65,"Auckland","New Zealand","36.17S","175.03E"
474403,4,1,1855,61.58,"Auckland","New Zealand","36.17S","175.03E"
474404,5,1,1855,58.00,"Auckland","New Zealand","36.17S","175.03E"
474405,6,1,1855,54.84,"Auckland","New Zealand","36.17S","175.03E"
474406,7,1,1855,53.15,"Auckland","New Zealand","36.17S","175.03E"
474407,8,1,1855,52.30,"Auckland","New Zealand","36.17S","175.03E"
474408,9,1,1855,52.61,"Auckland","New Zealand","36.17S","175.03E"
474409,10,1,1855,57.40,"Auckland","New Zealand","36.17S","175.03E"
474410,11,1,1855,58.15,"Auckland","New Zealand","36.17S","175.03E"
474411,12,1,1855,60.92,"Auckland","New Zealand","36.17S","175.03E"
474412,1,1,1856,61.84,"Auckland","New Zealand","36.17S","175.03E"
474413,2,1,1856,62.03,"Auckland","New Zealand","36.17S","175.03E"
474414,3,1,1856,62.12,"Auckland","New Zealand","36.17S","175.03E"
474415,4,1,1856,59.80,"Auckland","New Zealand","36.17S","175.03E"
